00001,20
00002,25
00003,7
00004,7
00005,7
00006,7
00007,7
00008,7
00009,8
00010,7
00011,8
00012,6
00013,6
00014,6
00015,7
00016,7
00017,23
00018,23
00019,4
00020,6
00021,6
00022,5
00023,5
00024,5
00025,5
00026,5
00027,4
00028,5
00029,5
00030,4
00031,6
00032,6
00033,6
00034,6
00035,6
00036,5
00037,4
00038,4
00039,4
00040,4
00041,4
00042,4
00043,4
00044,4
00045,13
00046,12
00047,12
00048,12
00049,8
00050,8
00051,8
00052,8
00053,8
00054,8
00055,8
00056,8
00057,7
00058,8
00059,8
00060,8
00061,8
00062,7
00063,6
00064,18
00065,8
00066,7
00067,7
00068,7
00069,5
00070,5
00071,4
00072,5
00073,4
00074,5
00075,15
00076,13
00077,14
00078,12
00079,10
00080,12
00081,14
00082,12
00083,12
00084,11
00085,13
00086,19
00087,18
00088,11
00089,14
00090,16
00091,15
00092,21
00093,14
00094,11
00095,13
00096,16
00097,16
00098,13
00099,16
00100,15
00101,13
00102,13
00103,17
00104,17
00105,13
00106,12
00107,13
00108,17
00109,15
00110,13
00111,14
00112,15
